,train_T1_specificity,train_T2_specificity,train_FLAIR_specificity,train_Stack_specificity
0,0.9524257582785323,0.9719839584464827,0.9696084950204006,0.971078304026146
1,,0.9734495765712493,0.9782821810381185,0.9755238441375574
2,0.9592475531736216,0.9763412751973068,0.9810364682503949,0.9794317639192079
3,0.9562848047013649,0.977554434319272,0.9816813075587268,0.9824499635556009
4,0.9639467099357786,0.9806238239435778,0.9840028208731482,0.9822258853162905
5,0.9749360187181733,0.9819316624666041,0.9852129000138213,0.9848207100748285
6,0.9788422287170218,0.9829407850304903,0.9853881876045865,0.9857184049869744
7,0.98085789225409,0.9841507459670195,0.9869297551581114,0.9868408259124115
8,0.9827732088046339,0.9848398315786647,0.9876745662350634,0.9873870067809657
9,0.9840884679424305,0.9864522906175706,0.9885184584358025,0.9880110026346931
10,0.9839817855057675,0.9871012656103605,0.9897569461059504,0.9886925367761481
11,0.9846310935963175,0.9877056421531519,0.9901866687378907,0.9894002467801082
12,0.985920267943035,0.9876257188502722,0.9908610064526582,0.9899670000620234
13,0.9866001913931066,0.9885506310958306,0.9909009621236643,0.9903034783441387
14,0.9873048327273318,0.9887182141810427,0.9919374033732409,0.991024069722816
15,0.9875481505313907,0.9894673178449256,0.9921770020435867,0.9915240496913007
16,0.9890514281134817,0.989644126108703,0.9925992721163638,0.9916195813588012
17,0.9889568789484895,0.9898505933189656,0.9928379112579333,0.9921432365326068
18,0.9900571530648555,0.9903233737783739,0.9931464994607149,0.9922047357420509
19,0.990769648167391,0.9906682264398127,0.9929170979575582,0.9928056229565447
20,0.9912847611386499,0.9911651854186297,0.9938181763397398,0.9927151932049253
21,0.9916080913166372,0.9912041284017452,0.9940621255282451,0.9932108612731952
22,0.9920149394704479,0.9917957567597214,0.9939764797748496,0.9934993291266574
23,0.9925175496364896,0.9922840456619868,0.9943892892520727,0.993876296432318
24,0.9929807088280407,0.9926561806149751,0.9945222281760947,0.9938868106160662
25,0.9928933621260045,0.9927978767749998,0.9947002337999138,0.9941559701729166
26,0.9934283105877229,0.9931305294248736,0.9948488017549861,0.9944119672615297
27,0.993601328036432,0.9932081638578086,0.9947485724011209,0.9945916310956137
28,0.9936288788570192,0.993355889930848,0.9949304054191135,0.994744663913182
