,train_T1_sensitivity,train_T2_sensitivity,train_FLAIR_sensitivity,train_Stack_sensitivity
0,0.4162113892891363,0.6460516891395032,0.8191659462074926,0.8136672892772342
1,,0.7200564374054474,0.7712963723690106,0.8300074091937265
2,1.0,0.7267625860671922,0.7703686238274844,0.8234606277807451
3,0.8643416526385116,0.7279940898705825,0.7515178618588133,0.7992337742320864
4,0.8178967806907695,0.7279142497174226,0.7611958502955652,0.8018587487905803
5,0.7450763048919473,0.7358336779985907,0.765044147842214,0.795326172968295
6,0.7453295040562051,0.7408680268003893,0.7766842110416904,0.7972247071848366
7,0.7449886730092655,0.7445074173710502,0.7826027819008602,0.8053085208570502
8,0.7540820221355038,0.759918416834542,0.7738046844179529,0.8074062586754075
9,0.7641179250595199,0.7525165366763114,0.7906690961238609,0.8151817692356248
10,0.7699883788580324,0.764604309211585,0.7985500212208584,0.8133710854508182
11,0.7728929544891308,0.76299763713585,0.8029374296259547,0.8257668151720066
12,0.7763552153245554,0.7749363415292524,0.8127748968844246,0.8258867349793427
13,0.7800863350308558,0.7701356946768942,0.8147037102350638,0.8318048060866368
14,0.7860309849152652,0.7725995887607988,0.8178907343729435,0.8369088787733283
15,0.7976363906760353,0.7824191434410982,0.834721130289566,0.8428860863391344
16,0.7961672843807185,0.7892818091802065,0.838824689864246,0.8413123644459883
17,0.8067854280041235,0.7890072110637821,0.8432123288840726,0.8551585093296646
18,0.8033506223829316,0.7947447912087969,0.849368674000051,0.8552233322331088
19,0.8113375900389704,0.7971264154410045,0.8481143296459978,0.8570932762248261
20,0.817474709326201,0.8031794686162235,0.8503723182916805,0.8602564283672849
21,0.8177016521333382,0.8034765854766274,0.8584911475981127,0.8596363189495321
22,0.8182550911354786,0.8080848627606956,0.8586170928334885,0.8653784177299669
23,0.8212304073618354,0.8199017429615255,0.8583908796452785,0.86778532943448
24,0.8282998266644256,0.825106527007889,0.863485853536899,0.8675240896045427
25,0.8397766146277211,0.8231440904705616,0.8633114078411356,0.8702214924889164
26,0.8374033509047034,0.8319991000820205,0.861411806461879,0.8717378539517922
27,0.8353667668382714,0.8281914889643227,0.869006974175326,0.8725556858617122
28,0.8437189995097657,0.8312925363084422,0.8635668025016471,0.8684243077035676
29,0.847954945008345,0.838010458412319,0.865992310966959,0.8797247346377929
30,0.8495722382088466,0.8299888402573928,0.8691107043482642,0.8733733610775233
31,0.8522343063906785,0.841583557326965,0.875403900775276,0.8732966440299729
32,0.8483199816530753,0.8430922123706958,0.8725931330964505,0.8787279907248907
33,0.8536604957541188,0.846457688703132,0.8759862644852596,0.8767634671789937
34,0.8565905806479811,0.848160806699704,0.8727191768596457,0.8782940909181982
35,0.8529081247389797,0.8524733059688856,0.8799972902594714,0.8777252052188422
36,0.8557987132103022,0.854538177997107,0.8763192140173255,0.8836456814981485
